term_code,term_desc,term_start_date,enrollment_date,date,days,level_desc,student_type,online,_FREQ_,Official
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,Continuing,On-Campus Program,90,563
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,Continuing,Online Program,18,885
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,New First Time Grad Applicant,On-Campus Program,72,357
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,New First Time Grad Applicant,Online Program,5,462
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,Returning,On-Campus Program,4,53
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,Returning,Online Program,,52
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Continuing,On-Campus Program,552,6294
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Continuing,Online Program,51,1319
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,New First Time Freshman,On-Campus Program,,2150
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,New First Time Freshman,Online Program,,122
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Returning,On-Campus Program,5,169
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Returning,Online Program,3,207
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,New First Time Transfer,On-Campus Program,6,469
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,New First Time Transfer,Online Program,5,525
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,02APR2020:06:00:00,04-02,-137,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Graduate,Continuing,On-Campus Program,109,563
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Graduate,Continuing,Online Program,28,885
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Graduate,New First Time Grad Applicant,On-Campus Program,77,357
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Graduate,New First Time Grad Applicant,Online Program,10,462
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,03APR2020:06:00:00,04-03,-136,Graduate,Returning,Online Program,,52
